date,actual,sarima_target_only,sarimax_exog,seasonal_naive_weekly
2016-05-13 19:00:00,208.33333333333331,203.20352919235341,205.1811400924115,126.66666666666669
2016-05-13 20:00:00,120.0,178.11533567500567,180.3952356727627,116.66666666666669
2016-05-13 21:00:00,63.333333333333336,124.19723823138173,130.43155020831114,71.66666666666667
2016-05-13 22:00:00,55.0,93.20902941935195,100.85848667310171,53.333333333333336
2016-05-13 23:00:00,61.66666666666666,81.00721816825013,89.5619060175887,58.333333333333336
2016-05-14 00:00:00,58.333333333333336,69.45143014734757,75.68541583570008,51.66666666666666
2016-05-14 01:00:00,63.333333333333336,65.41482454161228,69.48061188303149,56.66666666666666
2016-05-14 02:00:00,60.0,60.96845734734263,63.932750059825196,53.333333333333336
2016-05-14 03:00:00,60.0,57.38256828556739,60.46374412408315,55.0
2016-05-14 04:00:00,60.0,55.61489199832944,61.125669642735176,55.0
2016-05-14 05:00:00,56.66666666666666,63.36042690300107,69.39709560235822,51.66666666666666
2016-05-14 06:00:00,63.333333333333336,73.88092864525579,79.68007499333137,53.333333333333336
2016-05-14 07:00:00,113.33333333333331,101.5141078391424,107.70009778682292,148.33333333333334
2016-05-14 08:00:00,133.33333333333334,120.07928364920485,125.87900481646895,121.66666666666669
2016-05-14 09:00:00,118.33333333333331,105.61619044042493,111.05093005128765,153.33333333333334
2016-05-14 10:00:00,158.33333333333334,112.49458575469191,118.31207962995425,178.33333333333334
2016-05-14 11:00:00,96.66666666666669,122.1852291404519,127.4449020601402,161.66666666666666
2016-05-14 12:00:00,116.66666666666669,114.4291825774192,122.62300378745445,86.66666666666667
2016-05-14 13:00:00,113.33333333333331,107.69366954625082,117.15070990030121,75.0
2016-05-14 14:00:00,106.66666666666669,105.26334167229493,113.45926133284893,88.33333333333333
2016-05-14 15:00:00,130.0,97.55593800777179,106.91377927231972,103.33333333333331
2016-05-14 16:00:00,111.66666666666669,129.57893401166115,139.08161136009204,91.66666666666669
2016-05-14 17:00:00,241.66666666666663,182.47921824252046,192.85346493286997,83.33333333333333
2016-05-14 18:00:00,166.66666666666666,179.38767766366666,190.77766915684913,285.0
