date,sarima_target_only_lower,sarima_target_only_upper,sarimax_exog_lower,sarimax_exog_upper
2016-05-13 19:00:00,83.13843417762502,323.2686242070818,85.20510214344372,325.1571780413793
2016-05-13 20:00:00,50.42669381885082,305.8039775311605,52.80436778183501,307.9861035636904
2016-05-13 21:00:00,-10.742031327129098,259.13650778989256,-4.350955291910736,265.214055708533
2016-05-13 22:00:00,-44.56411556555629,230.9821744042602,-36.71201864435608,238.4289919905595
2016-05-13 23:00:00,-58.201654272715686,220.21609060921594,-49.40660753181133,228.5304195669887
2016-05-14 00:00:00,-70.70999780548715,209.61285810018228,-64.21359242689168,215.58442409829183
2016-05-14 01:00:00,-75.12753829530253,205.95718737852707,-70.79026443660749,209.75148820267046
2016-05-14 02:00:00,-79.80456458973663,201.74147928442187,-76.56281804956029,204.42831816921068
2016-05-14 03:00:00,-83.4994815701409,198.26461814127566,-80.13797982255613,201.06546807072243
2016-05-14 04:00:00,-85.32486535579979,196.55464935245868,-79.53208761080646,201.7834268962768
2016-05-14 05:00:00,-77.60953030147815,204.33038410748028,-71.28998968435953,210.08418088907598
2016-05-14 06:00:00,-67.10410842623811,214.8659657167497,-61.021636331433996,220.38178631809674
2016-05-14 07:00:00,-39.478922989056045,242.50713866734083,-33.009357258444496,248.40955283209036
2016-05-14 08:00:00,-20.917786563606427,261.07635386201616,-14.834360543375226,266.5923701763131
2016-05-14 09:00:00,-35.38298151695585,246.6153623978057,-29.66446696623757,251.76632706881287
2016-05-14 10:00:00,-28.505667000369243,253.49483850975307,-22.40436141570281,259.02852067561133
2016-05-14 11:00:00,-18.815579124285506,263.18603740518927,-13.272074966038232,268.1618790863186
2016-05-14 12:00:00,-26.571913017420144,255.43027817225854,-18.09425018895726,263.34025776386613
2016-05-14 13:00:00,-33.30757358847245,248.69491268097408,-23.56668614839414,257.8681059489966
2016-05-14 14:00:00,-35.73797765454259,246.26466099913245,-27.25820800304841,254.17673066874625
2016-05-14 15:00:00,-43.44542053363496,238.55729654917855,-33.80372774713916,247.6312862917786
2016-05-14 16:00:00,-11.422444735256107,270.58031275857843,-1.6359150549237995,279.79913777510785
2016-05-14 17:00:00,41.47782925953115,323.48060722550974,52.13592871988092,333.571001145859
2016-05-14 18:00:00,38.386283315983235,320.3890720113501,50.060127804515275,331.495210509183
