date,actual,feature_model,seasonal_naive_weekly
2016-05-13 19:00:00,208.33333333333331,207.52345275878906,126.66666666666669
2016-05-13 20:00:00,120.0,235.85641479492188,116.66666666666669
2016-05-13 21:00:00,63.333333333333336,167.12222290039062,71.66666666666667
2016-05-13 22:00:00,55.0,81.53144836425781,53.333333333333336
2016-05-13 23:00:00,61.66666666666666,73.8768310546875,58.333333333333336
2016-05-14 00:00:00,58.333333333333336,69.5683822631836,51.66666666666666
2016-05-14 01:00:00,63.333333333333336,69.48709106445312,56.66666666666666
2016-05-14 02:00:00,60.0,71.358642578125,53.333333333333336
2016-05-14 03:00:00,60.0,72.32794952392578,55.0
2016-05-14 04:00:00,60.0,78.60639953613281,55.0
2016-05-14 05:00:00,56.66666666666666,92.68830871582031,51.66666666666666
2016-05-14 06:00:00,63.333333333333336,118.33506774902344,53.333333333333336
2016-05-14 07:00:00,113.33333333333331,161.4564208984375,148.33333333333334
2016-05-14 08:00:00,133.33333333333334,143.91253662109375,121.66666666666669
2016-05-14 09:00:00,118.33333333333331,136.87644958496094,153.33333333333334
2016-05-14 10:00:00,158.33333333333334,139.1623077392578,178.33333333333334
2016-05-14 11:00:00,96.66666666666669,158.8115234375,161.66666666666666
2016-05-14 12:00:00,116.66666666666669,164.30825805664062,86.66666666666667
2016-05-14 13:00:00,113.33333333333331,144.99977111816406,75.0
2016-05-14 14:00:00,106.66666666666669,141.98321533203125,88.33333333333333
2016-05-14 15:00:00,130.0,156.2064971923828,103.33333333333331
2016-05-14 16:00:00,111.66666666666669,165.8327178955078,91.66666666666669
2016-05-14 17:00:00,241.66666666666663,212.9963836669922,83.33333333333333
2016-05-14 18:00:00,166.66666666666666,242.34483337402344,285.0
