date,actual,foundation_model,seasonal_naive_weekly
2016-05-13 19:00:00,208.33333333333331,117.00474,126.66666666666669
2016-05-13 20:00:00,120.0,103.31999,116.66666666666669
2016-05-13 21:00:00,63.333333333333336,73.555595,71.66666666666667
2016-05-13 22:00:00,55.0,62.94989,53.333333333333336
2016-05-13 23:00:00,61.66666666666666,58.16023,58.333333333333336
2016-05-14 00:00:00,58.333333333333336,55.76542,51.66666666666666
2016-05-14 01:00:00,63.333333333333336,55.76542,56.66666666666666
2016-05-14 02:00:00,60.0,56.79175,53.333333333333336
2016-05-14 03:00:00,60.0,56.79175,55.0
2016-05-14 04:00:00,60.0,56.79175,55.0
2016-05-14 05:00:00,56.66666666666666,56.79175,51.66666666666666
2016-05-14 06:00:00,63.333333333333336,61.58146,53.333333333333336
2016-05-14 07:00:00,113.33333333333331,69.10808,148.33333333333334
2016-05-14 08:00:00,133.33333333333334,71.845024,121.66666666666669
2016-05-14 09:00:00,118.33333333333331,74.23984,153.33333333333334
2016-05-14 10:00:00,158.33333333333334,81.08221,178.33333333333334
2016-05-14 11:00:00,96.66666666666669,67.73959,161.66666666666666
2016-05-14 12:00:00,116.66666666666669,69.79231,86.66666666666667
2016-05-14 13:00:00,113.33333333333331,73.213455,75.0
2016-05-14 14:00:00,106.66666666666669,69.10808,88.33333333333333
2016-05-14 15:00:00,130.0,74.23984,103.33333333333331
2016-05-14 16:00:00,111.66666666666669,76.63464,91.66666666666669
2016-05-14 17:00:00,241.66666666666663,89.977295,83.33333333333333
2016-05-14 18:00:00,166.66666666666666,100.92514,285.0
